Test,item,result,spec lower,spec upper,range,to lower,to upper,% from lim,% from lim up,closest_to_spec
gap creation,326,2.026,1.05,2.5,1.45,0.976,0.474,67.3,32.7,0.327
gap creation,327,1.471,1.05,2.5,1.45,0.421,1.029,29,71,0.29
gap creation,328,1.237,1.05,2.5,1.45,0.187,1.263,12.9,87.1,0.129
gap creation,329,1.209,1.05,2.5,1.45,0.159,1.291,11,89,0.11
gap creation,330,1.619,1.05,2.5,1.45,0.569,0.881,39.2,60.8,0.392
gap creation,331,1.315,1.05,2.5,1.45,0.265,1.185,18.3,81.7,0.183
gap creation,332,1.83,1.05,2.5,1.45,0.78,0.67,53.8,46.2,0.462
gap creation,333,1.85,1.05,2.5,1.45,0.8,0.65,55.2,44.8,0.448
gap creation,334,1.886,1.05,2.5,1.45,0.836,0.614,57.7,42.3,0.423
gap creation,335,1.296,1.05,2.5,1.45,0.246,1.204,17,83,0.17
gap creation,336,2.649,1.05,2.5,1.45,1.599,-0.149,110.3,-10.3,-0.103
gap creation,337,1.561,1.05,2.5,1.45,0.511,0.939,35.2,64.8,0.352
gap creation,338,0.879,1.05,2.5,1.45,-0.171,1.621,-11.8,111.8,-0.118
gap creation,339,2.012,1.05,2.5,1.45,0.962,0.488,66.3,33.7,0.337
gap creation,340,1.049,1.05,2.5,1.45,-0.001,1.451,-0.1,100.1,-0.001
gap creation,341,2.587,1.05,2.5,1.45,1.537,-0.087,106,-6,-0.06
gap creation,342,2.583,1.05,2.5,1.45,1.533,-0.083,105.7,-5.7,-0.057
gap creation,343,0.784,1.05,2.5,1.45,-0.266,1.716,-18.3,118.3,-0.183
gap creation,344,1.716,1.05,2.5,1.45,0.666,0.784,45.9,54.1,0.459
gap creation,345,2.071,1.05,2.5,1.45,1.021,0.429,70.4,29.6,0.296
gap creation,346,1.035,1.05,2.5,1.45,-0.015,1.465,-1,101,-0.01
gap creation,347,1.899,1.05,2.5,1.45,0.849,0.601,58.6,41.4,0.414
gap creation,348,2.088,1.05,2.5,1.45,1.038,0.412,71.6,28.4,0.284
gap creation,349,1.882,1.05,2.5,1.45,0.832,0.618,57.4,42.6,0.426
gap creation,350,1.466,1.05,2.5,1.45,0.416,1.034,28.7,71.3,0.287
gap creation,351,2.588,1.05,2.5,1.45,1.538,-0.088,106.1,-6.1,-0.061
gap creation,352,1.559,1.05,2.5,1.45,0.509,0.941,35.1,64.9,0.351
gap creation,353,1.809,1.05,2.5,1.45,0.759,0.691,52.3,47.7,0.477
gap creation,354,2.557,1.05,2.5,1.45,1.507,-0.057,103.9,-3.9,-0.039
gap creation,355,1.731,1.05,2.5,1.45,0.681,0.769,47,53,0.47
gap creation,356,1.173,1.05,2.5,1.45,0.123,1.327,8.5,91.5,0.085
gap creation,357,1.78,1.05,2.5,1.45,0.73,0.72,50.3,49.7,0.497
gap creation,358,1.371,1.05,2.5,1.45,0.321,1.129,22.1,77.9,0.221
gap creation,359,1.823,1.05,2.5,1.45,0.773,0.677,53.3,46.7,0.467
gap creation,360,1.449,1.05,2.5,1.45,0.399,1.051,27.5,72.5,0.275
gap creation,361,1.767,1.05,2.5,1.45,0.717,0.733,49.4,50.6,0.494
gap creation,362,1.506,1.05,2.5,1.45,0.456,0.994,31.4,68.6,0.314
gap creation,363,1.423,1.05,2.5,1.45,0.373,1.077,25.7,74.3,0.257
gap creation,364,1.6256,1.05,2.5,1.45,0.5756,0.8744,39.7,60.3,0.397
gap creation,365,1.302,1.05,2.5,1.45,0.252,1.198,17.4,82.6,0.174
gap creation,366,2.088,1.05,2.5,1.45,1.038,0.412,71.6,28.4,0.284
gap creation,367,1.64,1.05,2.5,1.45,0.59,0.86,40.7,59.3,0.407
gap creation,368,1.365,1.05,2.5,1.45,0.315,1.135,21.7,78.3,0.217
gap creation,369,1.535,1.05,2.5,1.45,0.485,0.965,33.4,66.6,0.334
gap creation,370,1.247,1.05,2.5,1.45,0.197,1.253,13.6,86.4,0.136
gap creation,371,1.851,1.05,2.5,1.45,0.801,0.649,55.2,44.8,0.448
gap creation,372,1.283,1.05,2.5,1.45,0.233,1.217,16.1,83.9,0.161
gap creation,373,1.784,1.05,2.5,1.45,0.734,0.716,50.6,49.4,0.494
gap creation,374,1.485,1.05,2.5,1.45,0.435,1.015,30,70,0.3
gap creation,375,2.15,1.05,2.5,1.45,1.1,0.35,75.9,24.1,0.241
gap creation,376,1.842,1.05,2.5,1.45,0.792,0.658,54.6,45.4,0.454
gap creation,377,1.824,1.05,2.5,1.45,0.774,0.676,53.4,46.6,0.466
gap creation,378,1.499,1.05,2.5,1.45,0.449,1.001,31,69,0.31
gap creation,379,1.155,1.05,2.5,1.45,0.105,1.345,7.2,92.8,0.072
gap creation,380,2.018,1.05,2.5,1.45,0.968,0.482,66.8,33.2,0.332
gap creation,381,1.901,1.05,2.5,1.45,0.851,0.599,58.7,41.3,0.413
gap creation,382,1.828,1.05,2.5,1.45,0.778,0.672,53.7,46.3,0.463
gap creation,383,1.352,1.05,2.5,1.45,0.302,1.148,20.8,79.2,0.208
gap creation,384,2.199,1.05,2.5,1.45,1.149,0.301,79.2,20.8,0.208
gap creation,385,1.932,1.05,2.5,1.45,0.882,0.568,60.8,39.2,0.392
gap creation,386,1.787,1.05,2.5,1.45,0.737,0.713,50.8,49.2,0.492
gap creation,387,1.189,1.05,2.5,1.45,0.139,1.311,9.6,90.4,0.096
gap creation,388,1.607,1.05,2.5,1.45,0.557,0.893,38.4,61.6,0.384
gap creation,389,1.849,1.05,2.5,1.45,0.799,0.651,55.1,44.9,0.449
gap creation,390,1.508,1.05,2.5,1.45,0.458,0.992,31.6,68.4,0.316
gap creation,391,2.046,1.05,2.5,1.45,0.996,0.454,68.7,31.3,0.313
gap creation,392,1.773,1.05,2.5,1.45,0.723,0.727,49.9,50.1,0.499
gap creation,393,1.844,1.05,2.5,1.45,0.794,0.656,54.8,45.2,0.452
gap creation,394,1.979,1.05,2.5,1.45,0.929,0.521,64.1,35.9,0.359
depth of injection,1,6.4462,2.34,,,,,,,1.755
depth of injection,2,6.5475,2.34,,,,,,,1.798
depth of injection,3,6.6256,2.34,,,,,,,1.831
depth of injection,4,6.6414,2.34,,,,,,,1.838
depth of injection,5,6.4525,2.34,,,,,,,1.757
depth of injection,6,6.549,2.34,,,,,,,1.799
depth of injection,7,6.5959,2.34,,,,,,,1.819
depth of injection,8,6.4556,2.34,,,,,,,1.759
depth of injection,9,6.5223,2.34,,,,,,,1.787
depth of injection,10,6.4858,2.34,,,,,,,1.772
depth of injection,11,6.5674,2.34,,,,,,,1.807
depth of injection,12,6.482,2.34,,,,,,,1.77
depth of injection,13,6.402,2.34,,,,,,,1.736
depth of injection,14,6.5828,2.34,,,,,,,1.813
depth of injection,15,6.4481,2.34,,,,,,,1.756
depth of injection,16,6.5508,2.34,,,,,,,1.799
depth of injection,17,6.4677,2.34,,,,,,,1.764
depth of injection,18,6.5174,2.34,,,,,,,1.785
depth of injection,19,6.4978,2.34,,,,,,,1.777
depth of injection,20,6.5309,2.34,,,,,,,1.791
depth of injection,21,6.5347,2.34,,,,,,,1.793
depth of injection,22,6.6865,2.34,,,,,,,1.857
depth of injection,23,6.319,2.34,,,,,,,1.7
depth of injection,24,6.5004,2.34,,,,,,,1.778
depth of injection,25,6.5984,2.34,,,,,,,1.82
depth of injection,26,6.534,2.34,,,,,,,1.792
depth of injection,27,6.444,2.34,,,,,,,1.754
depth of injection,28,6.5635,2.34,,,,,,,1.805
depth of injection,29,6.7165,2.34,,,,,,,1.87
depth of injection,30,6.6947,2.34,,,,,,,1.861
depth of injection,31,6.6001,2.34,,,,,,,1.821
depth of injection,32,6.4939,2.34,,,,,,,1.775
depth of injection,33,6.6843,2.34,,,,,,,1.857
depth of injection,34,6.6482,2.34,,,,,,,1.841
depth of injection,35,6.4359,2.34,,,,,,,1.75
depth of injection,36,6.4778,2.34,,,,,,,1.768
depth of injection,37,6.6092,2.34,,,,,,,1.824
depth of injection,38,6.5665,2.34,,,,,,,1.806
depth of injection,39,6.6037,2.34,,,,,,,1.822
depth of injection,40,6.6214,2.34,,,,,,,1.83
depth of injection,41,6.5172,2.34,,,,,,,1.785
depth of injection,42,6.5322,2.34,,,,,,,1.792
depth of injection,43,6.6021,2.34,,,,,,,1.821
depth of injection,44,6.657,2.34,,,,,,,1.845
depth of injection,45,6.4725,2.34,,,,,,,1.766
depth of injection,46,6.5784,2.34,,,,,,,1.811
depth of injection,47,6.5248,2.34,,,,,,,1.788
depth of injection,48,6.5227,2.34,,,,,,,1.787
depth of injection,49,6.5461,2.34,,,,,,,1.797
depth of injection,50,6.6379,2.34,,,,,,,1.837
depth of injection,51,6.6587,2.34,,,,,,,1.846
depth of injection,52,6.609,2.34,,,,,,,1.824
depth of injection,53,6.6367,2.34,,,,,,,1.836
depth of injection,54,6.5819,2.34,,,,,,,1.813
depth of injection,55,6.4763,2.34,,,,,,,1.768
depth of injection,56,6.6377,2.34,,,,,,,1.837
depth of injection,57,6.4585,2.34,,,,,,,1.76
depth of injection,58,6.522,2.34,,,,,,,1.787
depth of injection,59,6.615,2.34,,,,,,,1.827
depth of injection,60,6.5997,2.34,,,,,,,1.82
depth of injection,61,6.564,2.34,,,,,,,1.805
depth of injection,62,6.4252,2.34,,,,,,,1.746
depth of injection,63,6.5085,2.34,,,,,,,1.781
depth of injection,64,6.5895,2.34,,,,,,,1.816
depth of injection,65,6.5507,2.34,,,,,,,1.799
depth of injection,66,6.6179,2.34,,,,,,,1.828
depth of injection,67,6.4455,2.34,,,,,,,1.754
depth of injection,68,6.5524,2.34,,,,,,,1.8
depth of injection,69,6.5986,2.34,,,,,,,1.82
depth of injection,70,6.6318,2.34,,,,,,,1.834
depth of injection,71,6.494,2.34,,,,,,,1.775
depth of injection,72,6.3805,2.34,,,,,,,1.727
depth of injection,73,6.4186,2.34,,,,,,,1.743
depth of injection,74,6.355,2.34,,,,,,,1.716
depth of injection,75,6.135,2.34,,,,,,,1.622
depth of injection,76,6.3454,2.34,,,,,,,1.712
depth of injection,77,6.4672,2.34,,,,,,,1.764
depth of injection,78,6.4312,2.34,,,,,,,1.748
depth of injection,79,6.4747,2.34,,,,,,,1.767
depth of injection,80,6.491,2.34,,,,,,,1.774
depth of injection,81,6.4303,2.34,,,,,,,1.748
depth of injection,82,6.2821,2.34,,,,,,,1.685
depth of injection,83,6.3724,2.34,,,,,,,1.723
depth of injection,84,6.4889,2.34,,,,,,,1.773
depth of injection,85,6.3897,2.34,,,,,,,1.731
depth of injection,86,6.3878,2.34,,,,,,,1.73
depth of injection,87,6.5852,2.34,,,,,,,1.814
depth of injection,88,6.3481,2.34,,,,,,,1.713
depth of injection,89,6.4,2.34,,,,,,,1.735
depth of injection,90,6.4591,2.34,,,,,,,1.76
depth of injection,91,6.2575,2.34,,,,,,,1.674
depth of injection,92,6.4862,2.34,,,,,,,1.772
depth of injection,93,6.3783,2.34,,,,,,,1.726
depth of injection,94,6.4481,2.34,,,,,,,1.756
depth of injection,95,6.1309,2.34,,,,,,,1.62
depth of injection,96,6.4071,2.34,,,,,,,1.738
depth of injection,97,6.3158,2.34,,,,,,,1.699
depth of injection,98,6.5044,2.34,,,,,,,1.78
depth of injection,99,6.368,2.34,,,,,,,1.721
depth of injection,100,6.3891,2.34,,,,,,,1.73
depth of injection,101,6.3392,2.34,,,,,,,1.709
depth of injection,102,6.312,2.34,,,,,,,1.697
depth of injection,103,6.6085,2.34,,,,,,,1.824
depth of injection,104,6.4545,2.34,,,,,,,1.758
depth of injection,105,6.478,2.34,,,,,,,1.768
depth of injection,106,6.3333,2.34,,,,,,,1.707
depth of injection,107,6.1977,2.34,,,,,,,1.649
depth of injection,108,5.8798,2.34,,,,,,,1.513
depth of injection,109,6.2032,2.34,,,,,,,1.651
depth of injection,110,6.0915,2.34,,,,,,,1.603
depth of injection,111,6.3097,2.34,,,,,,,1.696
depth of injection,112,6.1776,2.34,,,,,,,1.64
depth of injection,113,6.3124,2.34,,,,,,,1.698
depth of injection,114,6.2891,2.34,,,,,,,1.688
depth of injection,115,6.2762,2.34,,,,,,,1.682
depth of injection,116,6.374,2.34,,,,,,,1.724
depth of injection,117,5.9778,2.34,,,,,,,1.555
depth of injection,118,6.2559,2.34,,,,,,,1.673
depth of injection,119,6.2346,2.34,,,,,,,1.664
depth of injection,120,6.3272,2.34,,,,,,,1.704
depth of injection,121,6.2046,2.34,,,,,,,1.652
depth of injection,122,6.1655,2.34,,,,,,,1.635
depth of injection,123,6.2823,2.34,,,,,,,1.685
depth of injection,124,6.0033,2.34,,,,,,,1.566
depth of injection,125,6.2757,2.34,,,,,,,1.682
depth of injection,126,6.1704,2.34,,,,,,,1.637
depth of injection,127,5.9461,2.34,,,,,,,1.541
depth of injection,128,6.2739,2.34,,,,,,,1.681
depth of injection,129,5.9923,2.34,,,,,,,1.561
depth of injection,130,6.6687,2.34,,,,,,,1.85
depth of injection,131,6.0656,2.34,,,,,,,1.592
depth of injection,132,5.848,2.34,,,,,,,1.499
depth of injection,133,6.2772,2.34,,,,,,,1.683
depth of injection,134,6.0269,2.34,,,,,,,1.576
depth of injection,135,6.1805,2.34,,,,,,,1.641
depth of injection,136,6.0594,2.34,,,,,,,1.589
depth of injection,137,6.2317,2.34,,,,,,,1.663
depth of injection,138,6.283,2.34,,,,,,,1.685
depth of injection,139,6.2723,2.34,,,,,,,1.68
depth of injection,140,6.0782,2.34,,,,,,,1.598
lock out overide,1,82.4,45,,,,,,,0.831
lock out overide,2,113.5,45,,,,,,,1.522
lock out overide,3,93.8,45,,,,,,,1.084
lock out overide,4,87.5,45,,,,,,,0.944
lock out overide,5,90.5,45,,,,,,,1.011
lock out overide,6,119.6,45,,,,,,,1.658
lock out overide,7,104.9,45,,,,,,,1.331
lock out overide,8,105.4,45,,,,,,,1.342
lock out overide,9,102.9,45,,,,,,,1.287
lock out overide,10,100.9,45,,,,,,,1.242
lock out overide,11,81.6,45,,,,,,,0.813
lock out overide,12,97.4,45,,,,,,,1.164
lock out overide,13,103.3,45,,,,,,,1.296
lock out overide,14,124.5,45,,,,,,,1.767
lock out overide,15,125.6,45,,,,,,,1.791
lock out overide,16,117.6,45,,,,,,,1.613
lock out overide,17,117.9,45,,,,,,,1.62
lock out overide,18,101.4,45,,,,,,,1.253
lock out overide,19,113.8,45,,,,,,,1.529
lock out overide,20,124.5,45,,,,,,,1.767
lock out overide,21,110.4,45,,,,,,,1.453
lock out overide,22,109.8,45,,,,,,,1.44
lock out overide,23,92.8,45,,,,,,,1.062
lock out overide,24,91,45,,,,,,,1.022
lock out overide,25,111.4,45,,,,,,,1.476
lock out overide,26,92.5,45,,,,,,,1.056
lock out overide,27,111.3,45,,,,,,,1.473
lock out overide,28,89,45,,,,,,,0.978
lock out overide,29,88.2,45,,,,,,,0.96
lock out overide,30,98.2,45,,,,,,,1.182
lock out overide,31,92.6,45,,,,,,,1.058
lock out overide,32,114.3,45,,,,,,,1.54
lock out overide,33,105.6,45,,,,,,,1.347
lock out overide,34,101,45,,,,,,,1.244
lock out overide,35,88,45,,,,,,,0.956
safe shielding of needle,1,7.9056,1.02,,-1.02,6.8856,-7.9056,675.1,775.1,6.751
safe shielding of needle,2,7.8975,1.02,,-1.02,6.8775,-7.8975,674.3,774.3,6.743
safe shielding of needle,3,7.9623,1.02,,-1.02,6.9423,-7.9623,680.6,780.6,6.806
safe shielding of needle,4,7.7279,1.02,,-1.02,6.7079,-7.7279,657.6,757.6,6.576
safe shielding of needle,5,7.7362,1.02,,-1.02,6.7162,-7.7362,658.5,758.5,6.585
safe shielding of needle,6,7.9857,1.02,,-1.02,6.9657,-7.9857,682.9,782.9,6.829
safe shielding of needle,7,7.8726,1.02,,-1.02,6.8526,-7.8726,671.8,771.8,6.718
safe shielding of needle,8,7.8985,1.02,,-1.02,6.8785,-7.8985,674.4,774.4,6.744
safe shielding of needle,9,7.8039,1.02,,-1.02,6.7839,-7.8039,665.1,765.1,6.651
safe shielding of needle,10,7.8844,1.02,,-1.02,6.8644,-7.8844,673,773,6.73
safe shielding of needle,11,7.7697,1.02,,-1.02,6.7497,-7.7697,661.7,761.7,6.617
safe shielding of needle,12,7.7968,1.02,,-1.02,6.7768,-7.7968,664.4,764.4,6.644
safe shielding of needle,13,8.0256,1.02,,-1.02,7.0056,-8.0256,686.8,786.8,6.868
safe shielding of needle,14,7.7752,1.02,,-1.02,6.7552,-7.7752,662.3,762.3,6.623
safe shielding of needle,15,7.8802,1.02,,-1.02,6.8602,-7.8802,672.6,772.6,6.726
safe shielding of needle,16,7.6636,1.02,,-1.02,6.6436,-7.6636,651.3,751.3,6.513
safe shielding of needle,17,7.7218,1.02,,-1.02,6.7018,-7.7218,657,757,6.57
safe shielding of needle,18,7.9011,1.02,,-1.02,6.8811,-7.9011,674.6,774.6,6.746
safe shielding of needle,19,7.6595,1.02,,-1.02,6.6395,-7.6595,650.9,750.9,6.509
safe shielding of needle,20,7.9307,1.02,,-1.02,6.9107,-7.9307,677.5,777.5,6.775
safe shielding of needle,21,7.745,1.02,,-1.02,6.725,-7.745,659.3,759.3,6.593
safe shielding of needle,22,8.0139,1.02,,-1.02,6.9939,-8.0139,685.7,785.7,6.857
safe shielding of needle,23,7.7639,1.02,,-1.02,6.7439,-7.7639,661.2,761.2,6.612
safe shielding of needle,24,7.7254,1.02,,-1.02,6.7054,-7.7254,657.4,757.4,6.574
safe shielding of needle,25,7.9565,1.02,,-1.02,6.9365,-7.9565,680,780,6.8
safe shielding of needle,26,7.9102,1.02,,-1.02,6.8902,-7.9102,675.5,775.5,6.755
safe shielding of needle,27,7.8431,1.02,,-1.02,6.8231,-7.8431,668.9,768.9,6.689
safe shielding of needle,28,7.7582,1.02,,-1.02,6.7382,-7.7582,660.6,760.6,6.606
safe shielding of needle,29,7.8091,1.02,,-1.02,6.7891,-7.8091,665.6,765.6,6.656
safe shielding of needle,30,7.7913,1.02,,-1.02,6.7713,-7.7913,663.9,763.9,6.639
safe shielding of needle,31,7.953,1.02,,-1.02,6.933,-7.953,679.7,779.7,6.797
safe shielding of needle,32,7.9565,1.02,,-1.02,6.9365,-7.9565,680,780,6.8
safe shielding of needle,33,7.8375,1.02,,-1.02,6.8175,-7.8375,668.4,768.4,6.684
safe shielding of needle,34,7.9832,1.02,,-1.02,6.9632,-7.9832,682.7,782.7,6.827
safe shielding of needle,35,7.9056,1.02,,-1.02,6.8856,-7.9056,675.1,775.1,6.751
safe shielding of needle,36,7.8792,1.02,,-1.02,6.8592,-7.8792,672.5,772.5,6.725
safe shielding of needle,37,7.8019,1.02,,-1.02,6.7819,-7.8019,664.9,764.9,6.649
safe shielding of needle,38,7.9082,1.02,,-1.02,6.8882,-7.9082,675.3,775.3,6.753
safe shielding of needle,39,7.8782,1.02,,-1.02,6.8582,-7.8782,672.4,772.4,6.724
safe shielding of needle,40,7.9407,1.02,,-1.02,6.9207,-7.9407,678.5,778.5,6.785
safe shielding of needle,41,7.7046,1.02,,-1.02,6.6846,-7.7046,655.4,755.4,6.554
safe shielding of needle,42,7.7231,1.02,,-1.02,6.7031,-7.7231,657.2,757.2,6.572
safe shielding of needle,43,7.8442,1.02,,-1.02,6.8242,-7.8442,669,769,6.69
safe shielding of needle,44,7.884,1.02,,-1.02,6.864,-7.884,672.9,772.9,6.729
safe shielding of needle,45,7.8087,1.02,,-1.02,6.7887,-7.8087,665.6,765.6,6.656
safe shielding of needle,46,7.7299,1.02,,-1.02,6.7099,-7.7299,657.8,757.8,6.578
safe shielding of needle,47,8.0568,1.02,,-1.02,7.0368,-8.0568,689.9,789.9,6.899
safe shielding of needle,48,7.9062,1.02,,-1.02,6.8862,-7.9062,675.1,775.1,6.751
safe shielding of needle,49,7.8523,1.02,,-1.02,6.8323,-7.8523,669.8,769.8,6.698
safe shielding of needle,50,7.8944,1.02,,-1.02,6.8744,-7.8944,674,774,6.74
safe shielding of needle,51,7.8083,1.02,,-1.02,6.7883,-7.8083,665.5,765.5,6.655
safe shielding of needle,52,7.7987,1.02,,-1.02,6.7787,-7.7987,664.6,764.6,6.646
safe shielding of needle,53,7.8097,1.02,,-1.02,6.7897,-7.8097,665.7,765.7,6.657
safe shielding of needle,54,7.9832,1.02,,-1.02,6.9632,-7.9832,682.7,782.7,6.827
safe shielding of needle,55,8.0223,1.02,,-1.02,7.0023,-8.0223,686.5,786.5,6.865
safe shielding of needle,56,7.8829,1.02,,-1.02,6.8629,-7.8829,672.8,772.8,6.728
safe shielding of needle,57,7.8062,1.02,,-1.02,6.7862,-7.8062,665.3,765.3,6.653
safe shielding of needle,58,7.8691,1.02,,-1.02,6.8491,-7.8691,671.5,771.5,6.715
safe shielding of needle,59,7.8186,1.02,,-1.02,6.7986,-7.8186,666.5,766.5,6.665
safe shielding of needle,60,7.9666,1.02,,-1.02,6.9466,-7.9666,681,781,6.81
safe shielding of needle,61,7.9298,1.02,,-1.02,6.9098,-7.9298,677.4,777.4,6.774
safe shielding of needle,62,7.7795,1.02,,-1.02,6.7595,-7.7795,662.7,762.7,6.627
safe shielding of needle,63,7.6812,1.02,,-1.02,6.6612,-7.6812,653.1,753.1,6.531
safe shielding of needle,64,7.8893,1.02,,-1.02,6.8693,-7.8893,673.5,773.5,6.735
safe shielding of needle,65,7.7849,1.02,,-1.02,6.7649,-7.7849,663.2,763.2,6.632
safe shielding of needle,66,7.9087,1.02,,-1.02,6.8887,-7.9087,675.4,775.4,6.754
safe shielding of needle,67,7.823,1.02,,-1.02,6.803,-7.823,667,767,6.67
safe shielding of needle,68,7.8407,1.02,,-1.02,6.8207,-7.8407,668.7,768.7,6.687
safe shielding of needle,69,7.8028,1.02,,-1.02,6.7828,-7.8028,665,765,6.65
safe shielding of needle,70,7.893,1.02,,-1.02,6.873,-7.893,673.8,773.8,6.738
RNS removal from RNSR,1,152.2,30,,-30,122.2,-152.2,407.3,507.3,4.073
RNS removal from RNSR,2,134,30,,-30,104,-134,346.7,446.7,3.467
RNS removal from RNSR,3,142.5,30,,-30,112.5,-142.5,375,475,3.75
RNS removal from RNSR,4,127.4,30,,-30,97.4,-127.4,324.7,424.7,3.247
RNS removal from RNSR,5,131.9,30,,-30,101.9,-131.9,339.7,439.7,3.397
RNS removal from RNSR,6,131,30,,-30,101,-131,336.7,436.7,3.367
RNS removal from RNSR,7,133.5,30,,-30,103.5,-133.5,345,445,3.45
RNS removal from RNSR,8,150.2,30,,-30,120.2,-150.2,400.7,500.7,4.007
RNS removal from RNSR,9,135.8,30,,-30,105.8,-135.8,352.7,452.7,3.527
RNS removal from RNSR,10,124.4,30,,-30,94.4,-124.4,314.7,414.7,3.147
RNS removal from RNSR,11,136.2,30,,-30,106.2,-136.2,354,454,3.54
RNS removal from RNSR,12,114.3,30,,-30,84.3,-114.3,281,381,2.81
RNS removal from RNSR,13,127.1,30,,-30,97.1,-127.1,323.7,423.7,3.237
RNS removal from RNSR,14,142.5,30,,-30,112.5,-142.5,375,475,3.75
RNS removal from RNSR,15,165,30,,-30,135,-165,450,550,4.5
RNS removal from RNSR,16,138,30,,-30,108,-138,360,460,3.6
RNS removal from RNSR,17,120.8,30,,-30,90.8,-120.8,302.7,402.7,3.027
RNS removal from RNSR,18,138.9,30,,-30,108.9,-138.9,363,463,3.63
RNS removal from RNSR,19,83.5,30,,-30,53.5,-83.5,178.3,278.3,1.783
RNS removal from RNSR,20,115.8,30,,-30,85.8,-115.8,286,386,2.86
RNS removal from RNSR,21,110.9,30,,-30,80.9,-110.9,269.7,369.7,2.697
RNS removal from RNSR,22,113.5,30,,-30,83.5,-113.5,278.3,378.3,2.783
RNS removal from RNSR,23,125.3,30,,-30,95.3,-125.3,317.7,417.7,3.177
RNS removal from RNSR,24,121.3,30,,-30,91.3,-121.3,304.3,404.3,3.043
RNS removal from RNSR,25,129.9,30,,-30,99.9,-129.9,333,433,3.33
RNS removal from RNSR,26,104.3,30,,-30,74.3,-104.3,247.7,347.7,2.477
RNS removal from RNSR,27,131.4,30,,-30,101.4,-131.4,338,438,3.38
RNS removal from RNSR,28,132.5,30,,-30,102.5,-132.5,341.7,441.7,3.417
RNS removal from RNSR,29,130.8,30,,-30,100.8,-130.8,336,436,3.36
RNS removal from RNSR,30,133.5,30,,-30,103.5,-133.5,345,445,3.45
RNS removal from RNSR,31,124.1,30,,-30,94.1,-124.1,313.7,413.7,3.137
RNS removal from RNSR,32,123,30,,-30,93,-123,310,410,3.1
RNS removal from RNSR,33,145.1,30,,-30,115.1,-145.1,383.7,483.7,3.837
RNS removal from RNSR,34,126.5,30,,-30,96.5,-126.5,321.7,421.7,3.217
RNS removal from RNSR,35,128.9,30,,-30,98.9,-128.9,329.7,429.7,3.297
RNSR removal from Cap,1,172.8,35,,-35,137.8,-172.8,393.7,493.7,3.937
RNSR removal from Cap,2,198.4,35,,-35,163.4,-198.4,466.9,566.9,4.669
RNSR removal from Cap,3,215.5,35,,-35,180.5,-215.5,515.7,615.7,5.157
RNSR removal from Cap,4,200.3,35,,-35,165.3,-200.3,472.3,572.3,4.723
RNSR removal from Cap,5,207,35,,-35,172,-207,491.4,591.4,4.914
RNSR removal from Cap,6,197,35,,-35,162,-197,462.9,562.9,4.629
RNSR removal from Cap,7,200,35,,-35,165,-200,471.4,571.4,4.714
RNSR removal from Cap,8,92.1,35,,-35,57.1,-92.1,163.1,263.1,1.631
RNSR removal from Cap,9,194.2,35,,-35,159.2,-194.2,454.9,554.9,4.549
RNSR removal from Cap,10,194,35,,-35,159,-194,454.3,554.3,4.543
RNSR removal from Cap,11,169.6,35,,-35,134.6,-169.6,384.6,484.6,3.846
RNSR removal from Cap,12,199.4,35,,-35,164.4,-199.4,469.7,569.7,4.697
RNSR removal from Cap,13,180.2,35,,-35,145.2,-180.2,414.9,514.9,4.149
RNSR removal from Cap,14,207,35,,-35,172,-207,491.4,591.4,4.914
RNSR removal from Cap,15,181.8,35,,-35,146.8,-181.8,419.4,519.4,4.194
RNSR removal from Cap,16,197.4,35,,-35,162.4,-197.4,464,564,4.64
RNSR removal from Cap,17,177.8,35,,-35,142.8,-177.8,408,508,4.08
RNSR removal from Cap,18,193.2,35,,-35,158.2,-193.2,452,552,4.52
RNSR removal from Cap,19,206.3,35,,-35,171.3,-206.3,489.4,589.4,4.894
RNSR removal from Cap,20,178.4,35,,-35,143.4,-178.4,409.7,509.7,4.097
RNSR removal from Cap,21,202,35,,-35,167,-202,477.1,577.1,4.771
RNSR removal from Cap,22,110,35,,-35,75,-110,214.3,314.3,2.143
RNSR removal from Cap,23,152.2,35,,-35,117.2,-152.2,334.9,434.9,3.349
RNSR removal from Cap,24,205,35,,-35,170,-205,485.7,585.7,4.857
RNSR removal from Cap,25,207.3,35,,-35,172.3,-207.3,492.3,592.3,4.923
RNSR removal from Cap,26,138.8,35,,-35,103.8,-138.8,296.6,396.6,2.966
RNSR removal from Cap,27,174.6,35,,-35,139.6,-174.6,398.9,498.9,3.989
RNSR removal from Cap,28,209.8,35,,-35,174.8,-209.8,499.4,599.4,4.994
RNSR removal from Cap,29,216,35,,-35,181,-216,517.1,617.1,5.171
RNSR removal from Cap,30,161.6,35,,-35,126.6,-161.6,361.7,461.7,3.617
RNSR removal from Cap,31,117.4,35,,-35,82.4,-117.4,235.4,335.4,2.354
RNSR removal from Cap,32,185.2,35,,-35,150.2,-185.2,429.1,529.1,4.291
RNSR removal from Cap,33,135,35,,-35,100,-135,285.7,385.7,2.857
Delivery Force (ave),34,14.95935252,15,,-15,-0.040647482,,-0.3,,-0.003
Delivery Force (ave),35,15.11308453,15,,-15.11308453,0.113084532,,0.8,,0.008
Delivery Force (ave),1,15.10557554,15,,-15.10557554,0.10557554,,0.7,,0.007
Delivery Force (ave),2,14.71910971,15,,-14.71910971,-0.280890288,,-1.9,,-0.019
